strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
USDCNH CALL-upout  40Δ  1M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,4196855.4470553035,1436000.0,4011784.9262360157,-185070.52081928815,-698125.7976305003,19.080779944289695,95.59025744026657,-0.1456150897561984,-1.1093364801664702,-4.074326895304162,1.9935855629271064,-1.797097272621868,-3.1029220430935767,4,25.0,-338969.2621745868,-0.08383238094934879,0.8987804463215858,3.1471339688630944,100.0,24.512534818941504,,,,
USDCNH PUT-downout  40Δ  1M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,4207522.483398859,1436000.0,2281786.94352606,-1925735.539872799,-2028088.0799814272,10.445682451253482,54.23112894890154,-2.21947762657999,-4.140119781221825,-6.824461046928894,2.340149094315982,-0.5652370506114587,-6.480268875537807,4,0.0,-868104.3225829673,-0.3002742378673058,0.19119754555456556,13.289648038868327,100.0,17.68802228412256,,,,
USDCNH CALL-upout  40Δ  6W  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,4721756.486689195,1436000.0,5815018.664863729,1093262.178174534,-537810.9713902492,22.284122562674096,123.15371792798888,0.6222507851819796,-1.2797403958335,-7.434211963556062,3.618651212418209,-2.827644750606913,-4.898391608251709,4,75.0,-283319.47477018804,0.6428400208931321,1.6212747468366024,1.8276333389571124,100.0,22.42339832869081,,,,
USDCNH PUT-downout  40Δ  6W  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,4736705.57318056,1436000.0,2272303.2429829673,-2464402.330197593,-2679152.1017810125,9.192200557103064,47.972228965398436,-2.0998375078844562,-3.4431558091493724,-9.417800572201987,3.8124529603130126,-1.107255428343475,-7.255608769462385,4,0.0,-1277057.483174301,-0.2908857731054475,0.25036367046037394,19.73993937971339,100.0,17.96657381615599,,,,
USDCNH CALL-upout  40Δ  2M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,5503035.338671483,1436000.0,6332787.320425456,829751.981753974,-1858159.5818865402,20.61281337047354,115.07807838199871,0.37719708231798804,-26.614474714952934,-106.29600741340556,46.044078525326086,-1.7300389738466988,-72.65855324027902,4,50.0,-950501.698385843,0.1412126260778888,1.3330503362146178,7.93226036194081,100.0,23.398328690807798,,,,
USDCNH PUT-downout  40Δ  2M  H@25Δ  [Realized vol (20d) < 252d p75],single,718,10000000.0,5525610.140904093,1436000.0,2986403.9287993596,-2539206.212104733,-3159136.7224442377,10.584958217270195,54.0465912839578,-1.3490407777288087,-4.9942086241303585,-17.16365417629635,7.198959256860089,-1.4414614603957687,-12.193167880990448,4,50.0,-1888283.3324228802,-0.25417790182780864,0.3794149835619751,22.768081333914548,100.0,20.473537604456823,,,,
USDCNH CALL-upout  40Δ  10W  H@25Δ  [Realized vol (20d) < 252d p75],single,717,10000000.0,5846721.019291414,1434000.0,6944149.527089604,1097428.5077981907,-2368168.7291082703,18.967921896792188,118.76998242565698,0.3530254472212428,-3.3289919188439336,-9.434835177140593,4.868444127224262,-1.4624379529629308,-8.197436046068194,4,50.0,-1383303.6967234728,0.14692690862922803,1.3218602903022532,10.41911504608516,100.0,24.267782426778243,,,,
USDCNH PUT-downout  40Δ  10W  H@25Δ  [Realized vol (20d) < 252d p75],single,717,10000000.0,5873217.855396546,1434000.0,3349182.4099411396,-2524035.445455407,-2815711.833732039,11.157601115760112,57.024658243585804,-1.4095137193769849,-1.4273563025846043,-3.265266867952709,1.4449723223576216,-1.012341711555215,-2.872328624942226,4,25.0,-1404725.494819556,-0.2842136872174394,0.38985281173672487,19.94249981738314,100.0,21.05997210599721,,,,
USDCNH CALL-upout  40Δ  3M  H@25Δ  [Realized vol (20d) < 252d p75],single,704,10000000.0,6510306.449110599,1408000.0,5778120.790012954,-732185.6590976452,-2383667.0106977494,12.215909090909092,88.75343787852458,-0.2738251135584965,-2.5313595852332536,-9.066622131232165,3.9527859863727404,-1.5615268606765358,-6.484145571605994,4,25.0,-1115547.6386339795,-0.09893564794931081,0.8260647959534857,10.099639978673233,100.0,27.556818181818183,,,,
USDCNH PUT-downout  40Δ  3M  H@25Δ  [Realized vol (20d) < 252d p75],single,704,10000000.0,6545993.904431757,1408000.0,5481257.981773368,-1064735.922658388,-2005378.0454804306,14.0625,83.73454148899309,-0.3449180944468584,-0.8097590120045983,-2.5824983920216593,1.1430958552802553,-1.411649439319564,-1.9528548672848536,4,25.0,-1055900.8073247452,-0.1710105173269947,0.7547461367335178,11.303834216966147,100.0,19.318181818181817,,,,
