strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct,basket_n_pairs,basket_pairs,trade_mode
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,2444,10000000.0,82098910.07912384,4888000.0,92175914.37702659,10077004.297902763,-7862062.871411124,28.355155482815057,112.27422421100464,0.7140644403476779,0.5425431154343614,-0.049117615729779046,0.5079169528349481,0.9361780444459396,0.03462616259941331,4,75.0,-14450.757404894044,0.39340347748121235,1.757350660665553,33.50098949019533,100.0,24.345335515548282,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  ATM/H@5Δ,eko_basket,2444,10000000.0,196633165.7329104,4888000.0,251125401.17194936,54492235.439039,-20697501.1468646,40.752864157119475,127.71263699891631,1.1280634104004967,0.83794994871152,-0.745150315908749,1.2726203262568139,1.5187307168091222,-0.4346703775452939,4,50.0,-2961188.9543260457,0.8080904461628577,2.2380614827638907,82.90941993357146,100.0,4.582651391162029,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  ATM/H@10Δ,eko_basket,2444,10000000.0,149886082.97304112,4888000.0,182345977.1331861,32459894.160144977,-13373801.084963977,36.94762684124386,121.65637630678712,0.9774176512279631,0.46600754955656815,-1.474264825850643,1.3207364189779778,2.8341524085494565,-0.8547288694214097,4,50.0,-2487643.0814271485,0.7449643722162981,2.0177784859453385,53.59427148512221,100.0,11.702127659574469,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  ATM/H@15Δ,eko_basket,2444,10000000.0,112507230.02654545,4888000.0,130969895.56086998,18462665.534324527,-10548132.046225037,32.48772504091653,116.41020361977479,0.8456839036273043,0.43675460241874964,-0.8885251495790913,1.1076080355408515,2.5359962537473253,-0.6708534331221019,4,50.0,-1446749.5834410402,0.5372322897177522,1.8786345621830494,44.65167496516206,100.0,18.289689034369886,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  ATM/H@25Δ,eko_basket,2444,10000000.0,57495135.82024208,4888000.0,59469989.81555733,1974853.995315249,-5839652.413481414,23.4860883797054,103.43481925408369,0.20858900384304963,0.19431677192763847,-0.5237497799308013,0.4958636842240683,2.5518316268074006,-0.3015469122964298,4,75.0,-1523744.5892294254,0.10379854319216457,1.1632743993318484,25.124472176550988,100.0,30.687397708674304,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  45Δ/H@20Δ,eko_basket,2444,10000000.0,60409814.04562025,4888000.0,67054736.36142579,6644922.315805534,-6192303.588983729,24.79541734860884,110.99973972902386,0.603315691803592,-0.0082313813195376,-1.9874851612450857,1.257354523443027,-152.7513396152153,-1.2655859047625646,4,75.0,-436139.27849714964,0.3293676422961715,1.606765047177738,28.047351002316127,100.0,24.345335515548282,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  45Δ/H@5Δ,eko_basket,2444,10000000.0,163314293.7370456,4888000.0,209998416.6493368,46684122.9122912,-19699997.604532026,38.09328968903437,128.58544824463308,1.0741701697652912,0.7787602619376525,-0.8448869428842625,1.313377853094722,1.6864982938740023,-0.5346175911570695,4,50.0,-3065975.4394752104,0.7273547740100214,2.1434075185261605,77.59463192346749,100.0,4.582651391162029,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  45Δ/H@10Δ,eko_basket,2444,10000000.0,120414889.64783932,4888000.0,146951183.48905438,26536293.841215044,-11658500.946817365,33.306055646481184,122.03738584059005,0.9149203634004761,0.3673511153682719,-1.7200003980440766,1.4308786690870636,3.895125424221452,-1.0635275537187918,4,50.0,-2633348.3062793515,0.6986196848017003,1.9354021847416694,49.91591448808784,100.0,11.702127659574469,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  45Δ/H@15Δ,eko_basket,2444,10000000.0,86915323.47270186,4888000.0,100885097.59309748,13969774.12039562,-8704742.71241215,29.091653027823238,116.07285523683659,0.7651677879971288,0.23232488343762642,-1.4426000726436559,1.3610148435200986,5.858239648640556,-1.1286899600824722,4,50.0,-2580778.3769621975,0.49257992477695967,1.7550442980664969,40.06091022823216,100.0,18.289689034369886,,,,,3,"USDJPY,USDKRW,USDTHB",stack
BASKET  Call-UO  1M  45Δ/H@25Δ,eko_basket,2444,10000000.0,39728442.59973298,4888000.0,39601703.7426983,-126738.85703468486,-4369571.28869977,19.803600654664486,99.68098709956594,-0.01866396112217408,-0.5301288233967412,-2.2790084897436467,1.0696370241411908,-2.017692637966016,-1.599765847537932,4,50.0,-1118653.7613667434,-0.008902545874684082,0.9866617008537962,19.835266723754838,100.0,30.687397708674304,,,,,3,"USDJPY,USDKRW,USDTHB",stack
