strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct,basket_n_pairs,basket_pairs,trade_mode
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,3281,10000000.0,60917389.86583377,6562000.0,72241058.47618958,11323668.610355811,-5047740.5405975,32.307223407497716,118.58856499809886,0.8908113276328286,0.38596095503838806,-1.4872211360920018,1.2457349674817544,3.227619144423177,-0.8597740124433664,4,75.0,-1125790.4158323766,0.6885466834900357,2.0130577250956425,15.53354207985524,100.0,17.677537336177995,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  ATM/H@5Δ,eko_basket,3281,10000000.0,141873849.37769532,6562000.0,155538136.81643957,13664287.438744247,-17251853.3975929,38.18957634867419,109.6312939267386,0.4436489355915244,0.17917169290363877,-1.3201291477736383,0.9496523785853371,5.300236679105748,-0.7704806856816984,4,75.0,-3921981.944432423,0.2431053371181995,1.3744386247150386,58.070636410380985,100.0,2.560195062480951,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  ATM/H@10Δ,eko_basket,3281,10000000.0,108785489.90092829,6562000.0,126908322.20444289,18122832.303514592,-11779423.551277332,37.48857055775679,116.65923674197651,0.7592413333156626,0.4195614568334896,-1.3183203770007734,1.0999871687668654,2.6217545745709785,-0.6804257119333759,4,75.0,-2723795.2073962404,0.47222100056910976,1.7090757605592806,34.68372394616467,100.0,6.8271868332825365,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  ATM/H@15Δ,eko_basket,3281,10000000.0,82374909.38267495,6562000.0,100256646.37213841,17881736.989463463,-7642391.627461497,36.26943005181347,121.7077470839978,0.9719199382625879,0.36204008874509774,-2.185174758069257,1.571076477391717,4.339509701363121,-1.209036388646619,4,75.0,-2598205.6400062097,0.7181640760811437,1.987645252975628,23.414426996047425,100.0,11.520877781164279,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  ATM/H@25Δ,eko_basket,3281,10000000.0,43574467.08524682,6562000.0,51433937.96459903,7859470.879352211,-3429782.280713564,28.497409326424872,118.03687206082485,0.8602827989824682,0.49885371476590007,-0.4222312397315819,0.8853666244555187,1.7748021078103022,-0.38651290968961866,4,50.0,-193021.90084563196,0.7033476164758293,1.9957602443923796,11.234681212488212,100.0,23.4989332520573,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  45Δ/H@20Δ,eko_basket,3281,10000000.0,45628830.79441047,6562000.0,51519680.8690026,5890850.0745921265,-4489227.008843706,27.49161840902164,112.9103682299783,0.5977676735242944,0.04815471086049494,-2.041609852889677,1.3722565528183732,28.496828831426793,-1.3241018419578783,4,75.0,-1341462.0223692476,0.4027630916867064,1.5866458045791796,15.09965707153367,100.0,17.677537336177995,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  45Δ/H@5Δ,eko_basket,3281,10000000.0,118313509.65541689,6562000.0,126013400.66170372,7699891.006286833,-15498845.32499274,34.532154830844256,106.5080403993698,0.2876752937333274,0.031010831831520203,-1.4442792757076022,0.92560807770431,29.847895816954455,-0.8945972458727898,4,50.0,-3833056.6626832555,0.1524854819595826,1.233134509299451,56.811256082698314,100.0,2.560195062480951,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  45Δ/H@10Δ,eko_basket,3281,10000000.0,87970736.45039621,6562000.0,99799649.7938067,11828913.34341049,-10478899.269372212,33.64827796403536,113.44641845766566,0.5859486498932421,0.25029310930606596,-1.5010036395677404,1.1010515141794175,4.399048448565232,-0.8507584048733515,4,75.0,-2737177.052467359,0.3464754343019302,1.5212940022007237,32.47787736377037,100.0,6.8271868332825365,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  45Δ/H@15Δ,eko_basket,3281,10000000.0,64318514.22234498,6562000.0,75938669.5581906,11620155.33584562,-6772090.925289419,31.545260591283146,118.06657923669614,0.771524816979216,0.15016005280831635,-2.505839313785748,1.6345092475706693,10.885113697030778,-1.4843491947623528,4,75.0,-2622572.2021668633,0.5266625242541086,1.7179912631595853,22.52149556109831,100.0,11.520877781164279,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
BASKET  Call-UO  1M  45Δ/H@25Δ,eko_basket,3281,10000000.0,31061620.35008823,6562000.0,34041220.407843664,2979600.0577554354,-3064360.389415084,23.52941176470588,109.59254547629216,0.4447013455359325,-0.09246422948609773,-1.4493707970635796,1.1518340436512273,-12.457077185988004,-1.244298273137325,4,50.0,-1047827.8710109969,0.29844300025621406,1.4220416472859945,12.144076226429656,100.0,23.4989332520573,,,,,4,"USDCNH,USDINR,USDSGD,USDTWD",stack
