strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
WO[USDJPY Cuo 45Δ/H@5Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo ATM/H@5Δ [50DMA > 200DMA (golden cross)]]  6W,worst_of,978,10000000,27944711.69400636,3912000,42281301.20864086,14336589.514634486,-3955259.664,32.41308793456032,151.30340821411815,0.5846269289630613,-0.061908315,-2.302805634,1.585310564,-25.60739327,-1.647218879,10,40,-2016869.855,0.39169170525237773,2.068755304384833,20.60409189016278,,,8.486707566462167,3.27198364,90.28629856850716,33.33333333333333
WO[USDJPY Cuo 45Δ/H@5Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@15Δ [Spot > 50DMA]]  6W,worst_of,1048,10000000,17012895.068690047,4192000,23045440.282575168,6032545.213885126,-4608528.353,24.141221374045802,135.4586634992372,0.4411522898409233,-0.716928493,-4.428371974,1.9069343101797318,-2.659866818,-2.623862804,11,36.36363636363637,-1464477.703,0.13340144857593988,1.6943937536183185,22.638890159505678,,,9.541984732824428,15.935114503816795,76.90839694656488,33.33333333333333
WO[USDJPY Cuo 45Δ/H@5Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@15Δ [50DMA > 200DMA (golden cross)]]  6W,worst_of,808,10000000,12743231.666225117,3232000,16329219.914776158,3585988.2485510404,-3367127.201,24.38118811881188,128.14033631716362,0.3403107850981575,-0.430010728,-2.355132687,1.4606640747722774,-3.396808448,-1.890674803,10,30,-748301.7307,0.11508609738609665,1.5266563034065297,15.839320905549059,,,6.311881188118812,13.490099009900991,82.79702970297029,33.333333333333336
WO[USDJPY Cuo 45Δ/H@5Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@15Δ [Spot > 50DMA]]  6W,worst_of,870,10000000,14081189.923665596,3480000,20048434.32669452,5967244.403,-3215833.759,25.74712643678161,142.37741579637424,0.4769230571545467,-0.370570048,-2.543956564,1.4839690196042836,-4.004557381,-1.854539067,10,40,-1061051.876,0.20016286407762407,1.8792627758701368,18.117540594799483,,,8.620689655172415,12.068965517241379,83.2183908,33.33333333333333
WO[USDJPY Cuo 45Δ/H@5Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@15Δ [50DMA > 200DMA (golden cross)]]  6W,worst_of,978,10000000,16122444.503428016,3912000,22740002.49226685,6617557.988838835,-2374515.115,25.153374233128833,141.04562423788641,0.5067166822305854,-0.105685831,-2.313569008,1.5422580825576362,-14.59285577,-1.647943913,10,50,-1047059.882,0.3011593433866531,1.8074342332141313,11.955705769347283,,,8.486707566462167,10.940695296523517,84.76482617586912,33.33333333333333
WO[USDJPY Cuo 45Δ/H@5Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@10Δ [Spot > 50DMA]]  6W,worst_of,1048,10000000,22211722.668326735,4192000,30974300.600945696,8762577.932618964,-5963520.025,27.671755725190838,139.4502401433012,0.5139912383336669,-0.470128901,-4.478049305,1.8860226450592685,-4.011713896,-2.356151546,11,45.45454545454545,-1957910.239,0.14974469142540225,1.804828002848761,27.968845569247733,,,9.541984732824428,10.114503816793894,81.58396946564885,33.33333333333333
WO[USDJPY Cuo 45Δ/H@5Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@10Δ [50DMA > 200DMA (golden cross)]]  6W,worst_of,808,10000000,16601732.803941855,3232000,19257048.348839574,2655315.5448977184,-4791663.022,26.361386138613863,115.99420720870324,0.22634316646151917,-0.598920925,-2.324659834,1.4865787185775605,-2.482095142,-2.085499644,10,30,-970893.7321,0.059882979,1.2892158084484011,22.437197385038175,,,6.311881188118812,9.777227722772277,85.51980198019803,33.33333333333333
WO[USDJPY Cuo 45Δ/H@5Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@10Δ [Spot > 50DMA]]  6W,worst_of,870,10000000,18376632.882067006,3480000,24513271.094165146,6136638.212098139,-4558218.426,28.045977011494255,133.39370303297852,0.4285554523347156,-0.49849825,-2.560375721,1.608102829798856,-3.225894636,-2.10660108,10,40,-1413124.952,0.14522408822657812,1.6861047004289436,25.32959288874262,,,8.620689655172415,7.471264367816093,86.66666666666667,33.333333333333336
WO[USDJPY Cuo 45Δ/H@5Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@10Δ [50DMA > 200DMA (golden cross)]]  6W,worst_of,978,10000000,21080917.758146852,3912000,26961577.09,5880659.328366047,-3852301.273,26.993865030674847,127.89565139351407,0.3975576802044092,-0.215727358,-2.344134525,1.549225707,-7.181405821,-1.764953066,10,40,-1383894.58,0.16496024811277313,1.5477003053373928,19.85983482,,,8.486707566462167,7.259713701431493,87.42331288343557,33.33333333333333
WO[USDJPY Cuo 45Δ/H@5Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@5Δ [Spot > 50DMA]]  6W,worst_of,1048,10000000,27648530.31115675,4192000,42784440.383001044,15135910.071844291,-6517145.083,31.48854961832061,154.74399507498106,0.6159477325333728,-0.495884401,-4.426306789,1.9758522626075314,-3.984501745,-2.471736664,11,45.45454545454545,-2176796.608,0.23668643762561506,2.1383487918593893,27.534262992827305,,,9.541984732824428,4.675572519083969,86.25954198473282,33.33333333333333
