strategy_name,strategy_type,period_type,period_end,pnl_usd,equity_usd,drawdown_usd
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-02-28,-850747.6549483812,-850747.6549483814,-1384372.0228408074
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-03-31,-115116.07143076384,-965863.7263791452,-1499488.0942715714
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-04-30,1998984.0732124606,1033120.3468333154,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-05-31,2255351.019267575,3288471.36610089,-231608.21453720238
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-06-30,-414134.76124833437,2874336.604852556,-792093.081958246
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-07-31,-140025.72083666845,2734310.8840158875,-932118.8027949142
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-08-31,-369042.17056083964,2365268.713455048,-1301160.9733557538
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-09-30,1494178.0708845523,3859446.784339601,-281189.75403574435
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-10-31,3416556.2335090577,7276003.017848657,-58091.35870321281
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-11-30,197183.62886403862,7473186.646712696,-850062.2888671551
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-12-31,-1137258.4413459476,6335928.2053667465,-1987320.7302131047
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-01-31,-151622.55019613606,6184305.655170609,-2138943.280409242
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-02-29,1778444.5935979655,7962750.248768575,-360498.6868112767
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-03-31,1020388.6431951987,8983138.891963774,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-04-30,122824.53681573874,9105963.428779513,-945794.5865016654
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-05-31,935268.3194550109,10041231.748234523,-56971.65543703362
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-06-30,2215741.8897860115,12256973.63802053,-11987.679486306384
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-07-31,-435660.91042892006,11821312.727591608,-642242.2659917269
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-08-31,-1934159.0464025326,9887153.681189077,-2576401.3123942576
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-09-30,-1606449.1403926257,8280704.54079645,-4182850.4527868843
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-10-31,-1342960.4052021406,6937744.135594311,-5525810.857989023
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-11-30,603537.9657399796,7541282.101334291,-4922272.892249044
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-12-31,701389.1109694445,8242671.212303737,-4220883.781279597
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-01-31,474339.8590525492,8717011.071356287,-3746543.9222270474
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-02-28,-1871874.1911755824,6845136.880180705,-5618418.113402629
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-03-31,-514701.79896751925,6330435.0812131865,-6133119.912370148
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-04-30,-704118.4172836925,5626316.663929495,-6837238.32965384
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-05-31,361010.6459843386,5987327.309913834,-6476227.683669501
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-06-30,-1140344.2367721535,4846983.073141679,-7616571.920441655
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-07-31,2552326.5808247514,7399309.6539664315,-5064245.339616903
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-08-31,1739109.2270579045,9138418.881024335,-3325136.112559
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-09-30,336272.1849034456,9474691.065927781,-2988863.9276555534
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-10-31,240398.98877288392,9715090.054700665,-2748464.9388826694
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-11-30,-225237.17700009048,9489852.877700575,-2973702.11588276
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-12-31,601602.1776070783,10091455.055307653,-2372099.938275682
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-01-31,26270.015799811925,10117725.071107466,-2345829.922475869
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-02-28,42861.53739076649,10160586.60849823,-2302968.385085104
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-03-31,176915.53708917624,10337502.14558741,-2126052.847995924
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-04-30,91648.59637053053,10429150.741957944,-2034404.2516253907
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-05-31,-352146.44405517925,10077004.297902765,-2386550.69568057
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,annual,2023-12-31,6335928.205366748,6335928.2053667465,-1987320.7302131047
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,annual,2024-12-31,1906743.0069369944,8242671.212303737,-4220883.781279597
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,annual,2025-12-31,1848783.8430039138,10091455.055307653,-2372099.938275682
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,annual,2026-12-31,-14450.757404894044,10077004.297902765,-2386550.69568057
BASKET  Call-UO  1M  ATM/H@5Δ,eko_basket,monthly,2023-02-28,4163631.5726804687,4163631.572680469,0.0
