bbg_ticker,csv_filename,pair,region,onshore_offshore,category,tenor,field,in_data,n_rows,first_date,last_date
EURUSDV1M BGN Curncy,EURUSDV1M BGN Curncy.csv,EURUSD,G10,,VOL_ATM,1M,close,True,2706,2016-01-01,2026-05-15
EURUSD25R1M BGN Curncy,EURUSD25R1M BGN Curncy.csv,EURUSD,G10,,VOL_RR_25D,1M,close,True,2706,2016-01-01,2026-05-15
EURUSD25B1M BGN Curncy,EURUSD25B1M BGN Curncy.csv,EURUSD,G10,,VOL_BF_25D,1M,close,True,2706,2016-01-01,2026-05-15
EURUSD10R1M BGN Curncy,EURUSD10R1M BGN Curncy.csv,EURUSD,G10,,VOL_RR_10D,1M,close,True,2706,2016-01-01,2026-05-15
EURUSD10B1M BGN Curncy,EURUSD10B1M BGN Curncy.csv,EURUSD,G10,,VOL_BF_10D,1M,close,True,2706,2016-01-01,2026-05-15
EURUSDV2M BGN Curncy,EURUSDV2M BGN Curncy.csv,EURUSD,G10,,VOL_ATM,2M,close,True,2706,2016-01-01,2026-05-15
EURUSD25R2M BGN Curncy,EURUSD25R2M BGN Curncy.csv,EURUSD,G10,,VOL_RR_25D,2M,close,True,2706,2016-01-01,2026-05-15
EURUSD25B2M BGN Curncy,EURUSD25B2M BGN Curncy.csv,EURUSD,G10,,VOL_BF_25D,2M,close,True,2706,2016-01-01,2026-05-15
EURUSD10R2M BGN Curncy,EURUSD10R2M BGN Curncy.csv,EURUSD,G10,,VOL_RR_10D,2M,close,True,2706,2016-01-01,2026-05-15
EURUSD10B2M BGN Curncy,EURUSD10B2M BGN Curncy.csv,EURUSD,G10,,VOL_BF_10D,2M,close,True,2706,2016-01-01,2026-05-15
EURUSDV3M BGN Curncy,EURUSDV3M BGN Curncy.csv,EURUSD,G10,,VOL_ATM,3M,close,True,2706,2016-01-01,2026-05-15
EURUSD25R3M BGN Curncy,EURUSD25R3M BGN Curncy.csv,EURUSD,G10,,VOL_RR_25D,3M,close,True,2706,2016-01-01,2026-05-15
EURUSD25B3M BGN Curncy,EURUSD25B3M BGN Curncy.csv,EURUSD,G10,,VOL_BF_25D,3M,close,True,2706,2016-01-01,2026-05-15
EURUSD10R3M BGN Curncy,EURUSD10R3M BGN Curncy.csv,EURUSD,G10,,VOL_RR_10D,3M,close,True,2706,2016-01-01,2026-05-15
EURUSD10B3M BGN Curncy,EURUSD10B3M BGN Curncy.csv,EURUSD,G10,,VOL_BF_10D,3M,close,True,2706,2016-01-01,2026-05-15
EURUSDV6M BGN Curncy,EURUSDV6M BGN Curncy.csv,EURUSD,G10,,VOL_ATM,6M,close,True,2706,2016-01-01,2026-05-15
EURUSD25R6M BGN Curncy,EURUSD25R6M BGN Curncy.csv,EURUSD,G10,,VOL_RR_25D,6M,close,True,2706,2016-01-01,2026-05-15
EURUSD25B6M BGN Curncy,EURUSD25B6M BGN Curncy.csv,EURUSD,G10,,VOL_BF_25D,6M,close,True,2706,2016-01-01,2026-05-15
EURUSD10R6M BGN Curncy,EURUSD10R6M BGN Curncy.csv,EURUSD,G10,,VOL_RR_10D,6M,close,True,2706,2016-01-01,2026-05-15
EURUSD10B6M BGN Curncy,EURUSD10B6M BGN Curncy.csv,EURUSD,G10,,VOL_BF_10D,6M,close,True,2706,2016-01-01,2026-05-15
EURUSDV9M BGN Curncy,EURUSDV9M BGN Curncy.csv,EURUSD,G10,,VOL_ATM,9M,close,True,2706,2016-01-01,2026-05-15
EURUSD25R9M BGN Curncy,EURUSD25R9M BGN Curncy.csv,EURUSD,G10,,VOL_RR_25D,9M,close,True,2706,2016-01-01,2026-05-15
EURUSD25B9M BGN Curncy,EURUSD25B9M BGN Curncy.csv,EURUSD,G10,,VOL_BF_25D,9M,close,True,2706,2016-01-01,2026-05-15
EURUSD10R9M BGN Curncy,EURUSD10R9M BGN Curncy.csv,EURUSD,G10,,VOL_RR_10D,9M,close,True,2706,2016-01-01,2026-05-15
EURUSD10B9M BGN Curncy,EURUSD10B9M BGN Curncy.csv,EURUSD,G10,,VOL_BF_10D,9M,close,True,2706,2016-01-01,2026-05-15
EURUSDV1Y BGN Curncy,EURUSDV1Y BGN Curncy.csv,EURUSD,G10,,VOL_ATM,1Y,close,True,2706,2016-01-01,2026-05-15
EURUSD25R1Y BGN Curncy,EURUSD25R1Y BGN Curncy.csv,EURUSD,G10,,VOL_RR_25D,1Y,close,True,2706,2016-01-01,2026-05-15
EURUSD25B1Y BGN Curncy,EURUSD25B1Y BGN Curncy.csv,EURUSD,G10,,VOL_BF_25D,1Y,close,True,2706,2016-01-01,2026-05-15
EURUSD10R1Y BGN Curncy,EURUSD10R1Y BGN Curncy.csv,EURUSD,G10,,VOL_RR_10D,1Y,close,True,2706,2016-01-01,2026-05-15
EURUSD10B1Y BGN Curncy,EURUSD10B1Y BGN Curncy.csv,EURUSD,G10,,VOL_BF_10D,1Y,close,True,2706,2016-01-01,2026-05-15
ESTRON Index,ESTRON Index.csv,EURUSD,G10,,RATE_OIS_EUR,ON,close,True,1694,2019-10-01,2026-05-14
EESWE1Z Curncy,EESWE1Z Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,1W,close,True,2669,2016-01-04,2026-05-15
EESWEA Curncy,EESWEA Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,1M,close,True,2661,2016-01-04,2026-05-15
EESWEB Curncy,EESWEB Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,2M,close,True,2667,2016-01-04,2026-05-15
EESWEC Curncy,EESWEC Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,3M,close,True,2666,2016-01-04,2026-05-15
EESWEF Curncy,EESWEF Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,6M,close,True,2665,2016-01-04,2026-05-15
EESWEI Curncy,EESWEI Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,9M,close,True,2662,2016-01-04,2026-05-15
EESWE1 Curncy,EESWE1 Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,1Y,close,True,2666,2016-01-04,2026-05-15
EESWE2 Curncy,EESWE2 Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,2Y,close,True,2660,2016-01-04,2026-05-15
EESWE5 Curncy,EESWE5 Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,5Y,close,True,2638,2016-01-04,2026-05-15
EESWE7 Curncy,EESWE7 Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,7Y,close,True,2638,2016-01-04,2026-05-15
EESWE10 Curncy,EESWE10 Curncy.csv,EURUSD,G10,,RATE_OIS_EUR,10Y,close,True,2645,2016-01-04,2026-05-15
GDBR2 Index,GDBR2 Index.csv,EURUSD,G10,,RATE_GOVT_EUR,2Y,close,True,2696,2016-01-01,2026-05-15
GDBR5 Index,GDBR5 Index.csv,EURUSD,G10,,RATE_GOVT_EUR,5Y,close,True,2697,2016-01-01,2026-05-15
GDBR7 Index,GDBR7 Index.csv,EURUSD,G10,,RATE_GOVT_EUR,7Y,close,True,2697,2016-01-01,2026-05-15
GDBR10 Index,GDBR10 Index.csv,EURUSD,G10,,RATE_GOVT_EUR,10Y,close,True,2697,2016-01-01,2026-05-15
GBP Curncy,GBP Curncy.csv,GBPUSD,G10,,SPOT,,open,True,2706,2016-01-01,2026-05-15
GBP1W BGN Curncy,GBP1W BGN Curncy.csv,GBPUSD,G10,,FWD_POINTS,1W,close,True,2706,2016-01-01,2026-05-15
GBP1M BGN Curncy,GBP1M BGN Curncy.csv,GBPUSD,G10,,FWD_POINTS,1M,close,True,2706,2016-01-01,2026-05-15
GBP2M BGN Curncy,GBP2M BGN Curncy.csv,GBPUSD,G10,,FWD_POINTS,2M,close,True,2706,2016-01-01,2026-05-15
GBP3M BGN Curncy,GBP3M BGN Curncy.csv,GBPUSD,G10,,FWD_POINTS,3M,close,True,2706,2016-01-01,2026-05-15
GBP6M BGN Curncy,GBP6M BGN Curncy.csv,GBPUSD,G10,,FWD_POINTS,6M,close,True,2706,2016-01-01,2026-05-15
GBP9M BGN Curncy,GBP9M BGN Curncy.csv,GBPUSD,G10,,FWD_POINTS,9M,close,True,2706,2016-01-01,2026-05-15
GBP12M BGN Curncy,GBP12M BGN Curncy.csv,GBPUSD,G10,,FWD_POINTS,12M,close,True,2706,2016-01-01,2026-05-15
GBPUSDV1W BGN Curncy,GBPUSDV1W BGN Curncy.csv,GBPUSD,G10,,VOL_ATM,1W,close,True,2706,2016-01-01,2026-05-15
GBPUSD25R1W BGN Curncy,GBPUSD25R1W BGN Curncy.csv,GBPUSD,G10,,VOL_RR_25D,1W,close,True,2706,2016-01-01,2026-05-15
GBPUSD25B1W BGN Curncy,GBPUSD25B1W BGN Curncy.csv,GBPUSD,G10,,VOL_BF_25D,1W,close,True,2706,2016-01-01,2026-05-15
GBPUSD10R1W BGN Curncy,GBPUSD10R1W BGN Curncy.csv,GBPUSD,G10,,VOL_RR_10D,1W,close,True,2706,2016-01-01,2026-05-15
GBPUSD10B1W BGN Curncy,GBPUSD10B1W BGN Curncy.csv,GBPUSD,G10,,VOL_BF_10D,1W,close,True,2706,2016-01-01,2026-05-15
GBPUSDV1M BGN Curncy,GBPUSDV1M BGN Curncy.csv,GBPUSD,G10,,VOL_ATM,1M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25R1M BGN Curncy,GBPUSD25R1M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_25D,1M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25B1M BGN Curncy,GBPUSD25B1M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_25D,1M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10R1M BGN Curncy,GBPUSD10R1M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_10D,1M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10B1M BGN Curncy,GBPUSD10B1M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_10D,1M,close,True,2706,2016-01-01,2026-05-15
GBPUSDV2M BGN Curncy,GBPUSDV2M BGN Curncy.csv,GBPUSD,G10,,VOL_ATM,2M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25R2M BGN Curncy,GBPUSD25R2M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_25D,2M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25B2M BGN Curncy,GBPUSD25B2M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_25D,2M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10R2M BGN Curncy,GBPUSD10R2M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_10D,2M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10B2M BGN Curncy,GBPUSD10B2M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_10D,2M,close,True,2706,2016-01-01,2026-05-15
GBPUSDV3M BGN Curncy,GBPUSDV3M BGN Curncy.csv,GBPUSD,G10,,VOL_ATM,3M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25R3M BGN Curncy,GBPUSD25R3M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_25D,3M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25B3M BGN Curncy,GBPUSD25B3M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_25D,3M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10R3M BGN Curncy,GBPUSD10R3M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_10D,3M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10B3M BGN Curncy,GBPUSD10B3M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_10D,3M,close,True,2706,2016-01-01,2026-05-15
GBPUSDV6M BGN Curncy,GBPUSDV6M BGN Curncy.csv,GBPUSD,G10,,VOL_ATM,6M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25R6M BGN Curncy,GBPUSD25R6M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_25D,6M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25B6M BGN Curncy,GBPUSD25B6M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_25D,6M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10R6M BGN Curncy,GBPUSD10R6M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_10D,6M,close,True,2706,2016-01-01,2026-05-15
GBPUSD10B6M BGN Curncy,GBPUSD10B6M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_10D,6M,close,True,2706,2016-01-01,2026-05-15
GBPUSDV9M BGN Curncy,GBPUSDV9M BGN Curncy.csv,GBPUSD,G10,,VOL_ATM,9M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25R9M BGN Curncy,GBPUSD25R9M BGN Curncy.csv,GBPUSD,G10,,VOL_RR_25D,9M,close,True,2706,2016-01-01,2026-05-15
GBPUSD25B9M BGN Curncy,GBPUSD25B9M BGN Curncy.csv,GBPUSD,G10,,VOL_BF_25D,9M,close,True,2706,2016-01-01,2026-05-15
