bbg_ticker,csv_filename,pair,region,onshore_offshore,category,tenor,field,in_data,n_rows,first_date,last_date
NZD Curncy,NZD Curncy.csv,NZDUSD,G10,,SPOT,,open,True,2706,2016-01-01,2026-05-15
NZD1W BGN Curncy,NZD1W BGN Curncy.csv,NZDUSD,G10,,FWD_POINTS,1W,close,True,2706,2016-01-01,2026-05-15
NZD1M BGN Curncy,NZD1M BGN Curncy.csv,NZDUSD,G10,,FWD_POINTS,1M,close,True,2706,2016-01-01,2026-05-15
NZD2M BGN Curncy,NZD2M BGN Curncy.csv,NZDUSD,G10,,FWD_POINTS,2M,close,True,2706,2016-01-01,2026-05-15
NZD3M BGN Curncy,NZD3M BGN Curncy.csv,NZDUSD,G10,,FWD_POINTS,3M,close,True,2706,2016-01-01,2026-05-15
NZD6M BGN Curncy,NZD6M BGN Curncy.csv,NZDUSD,G10,,FWD_POINTS,6M,close,True,2706,2016-01-01,2026-05-15
NZD9M BGN Curncy,NZD9M BGN Curncy.csv,NZDUSD,G10,,FWD_POINTS,9M,close,True,2706,2016-01-01,2026-05-15
NZD12M BGN Curncy,NZD12M BGN Curncy.csv,NZDUSD,G10,,FWD_POINTS,12M,close,True,2706,2016-01-01,2026-05-15
NZDUSDV1W BGN Curncy,NZDUSDV1W BGN Curncy.csv,NZDUSD,G10,,VOL_ATM,1W,close,True,2706,2016-01-01,2026-05-15
NZDUSD25R1W BGN Curncy,NZDUSD25R1W BGN Curncy.csv,NZDUSD,G10,,VOL_RR_25D,1W,close,True,2706,2016-01-01,2026-05-15
NZDUSD25B1W BGN Curncy,NZDUSD25B1W BGN Curncy.csv,NZDUSD,G10,,VOL_BF_25D,1W,close,True,2706,2016-01-01,2026-05-15
NZDUSD10R1W BGN Curncy,NZDUSD10R1W BGN Curncy.csv,NZDUSD,G10,,VOL_RR_10D,1W,close,True,2706,2016-01-01,2026-05-15
NZDUSD10B1W BGN Curncy,NZDUSD10B1W BGN Curncy.csv,NZDUSD,G10,,VOL_BF_10D,1W,close,True,2706,2016-01-01,2026-05-15
NZDUSDV1M BGN Curncy,NZDUSDV1M BGN Curncy.csv,NZDUSD,G10,,VOL_ATM,1M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25R1M BGN Curncy,NZDUSD25R1M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_25D,1M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25B1M BGN Curncy,NZDUSD25B1M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_25D,1M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10R1M BGN Curncy,NZDUSD10R1M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_10D,1M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10B1M BGN Curncy,NZDUSD10B1M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_10D,1M,close,True,2706,2016-01-01,2026-05-15
NZDUSDV2M BGN Curncy,NZDUSDV2M BGN Curncy.csv,NZDUSD,G10,,VOL_ATM,2M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25R2M BGN Curncy,NZDUSD25R2M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_25D,2M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25B2M BGN Curncy,NZDUSD25B2M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_25D,2M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10R2M BGN Curncy,NZDUSD10R2M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_10D,2M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10B2M BGN Curncy,NZDUSD10B2M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_10D,2M,close,True,2706,2016-01-01,2026-05-15
NZDUSDV3M BGN Curncy,NZDUSDV3M BGN Curncy.csv,NZDUSD,G10,,VOL_ATM,3M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25R3M BGN Curncy,NZDUSD25R3M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_25D,3M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25B3M BGN Curncy,NZDUSD25B3M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_25D,3M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10R3M BGN Curncy,NZDUSD10R3M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_10D,3M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10B3M BGN Curncy,NZDUSD10B3M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_10D,3M,close,True,2706,2016-01-01,2026-05-15
NZDUSDV6M BGN Curncy,NZDUSDV6M BGN Curncy.csv,NZDUSD,G10,,VOL_ATM,6M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25R6M BGN Curncy,NZDUSD25R6M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_25D,6M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25B6M BGN Curncy,NZDUSD25B6M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_25D,6M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10R6M BGN Curncy,NZDUSD10R6M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_10D,6M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10B6M BGN Curncy,NZDUSD10B6M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_10D,6M,close,True,2706,2016-01-01,2026-05-15
NZDUSDV9M BGN Curncy,NZDUSDV9M BGN Curncy.csv,NZDUSD,G10,,VOL_ATM,9M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25R9M BGN Curncy,NZDUSD25R9M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_25D,9M,close,True,2706,2016-01-01,2026-05-15
NZDUSD25B9M BGN Curncy,NZDUSD25B9M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_25D,9M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10R9M BGN Curncy,NZDUSD10R9M BGN Curncy.csv,NZDUSD,G10,,VOL_RR_10D,9M,close,True,2706,2016-01-01,2026-05-15
NZDUSD10B9M BGN Curncy,NZDUSD10B9M BGN Curncy.csv,NZDUSD,G10,,VOL_BF_10D,9M,close,True,2706,2016-01-01,2026-05-15
NZDUSDV1Y BGN Curncy,NZDUSDV1Y BGN Curncy.csv,NZDUSD,G10,,VOL_ATM,1Y,close,True,2706,2016-01-01,2026-05-15
NZDUSD25R1Y BGN Curncy,NZDUSD25R1Y BGN Curncy.csv,NZDUSD,G10,,VOL_RR_25D,1Y,close,True,2706,2016-01-01,2026-05-15
NZDUSD25B1Y BGN Curncy,NZDUSD25B1Y BGN Curncy.csv,NZDUSD,G10,,VOL_BF_25D,1Y,close,True,2706,2016-01-01,2026-05-15
NZDUSD10R1Y BGN Curncy,NZDUSD10R1Y BGN Curncy.csv,NZDUSD,G10,,VOL_RR_10D,1Y,close,True,2706,2016-01-01,2026-05-15
NZDUSD10B1Y BGN Curncy,NZDUSD10B1Y BGN Curncy.csv,NZDUSD,G10,,VOL_BF_10D,1Y,close,True,2706,2016-01-01,2026-05-15
NZOCRS Index,NZOCRS Index.csv,NZDUSD,G10,,RATE_OIS_NZD,ON,close,True,2596,2016-01-05,2026-05-15
NDSO1Z Curncy,NDSO1Z Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,1W,close,True,2636,2016-01-01,2026-05-15
NDSOA Curncy,NDSOA Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,1M,close,True,2703,2016-01-01,2026-05-15
NDSOB Curncy,NDSOB Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,2M,close,True,2704,2016-01-01,2026-05-15
NDSOC Curncy,NDSOC Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,3M,close,True,2705,2016-01-01,2026-05-15
NDSOF Curncy,NDSOF Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,6M,close,True,2706,2016-01-01,2026-05-15
NDSOI Curncy,NDSOI Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,9M,close,True,2705,2016-01-01,2026-05-15
NDSO1 Curncy,NDSO1 Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,1Y,close,True,2705,2016-01-01,2026-05-15
NDSO2 Curncy,NDSO2 Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,2Y,close,True,2700,2016-01-01,2026-05-15
NDSO5 Curncy,NDSO5 Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,5Y,close,True,2670,2016-01-01,2026-05-15
NDSO7 Curncy,NDSO7 Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,7Y,close,True,2676,2016-01-01,2026-05-15
NDSO10 Curncy,NDSO10 Curncy.csv,NZDUSD,G10,,RATE_OIS_NZD,10Y,close,True,2675,2016-01-01,2026-05-15
GNZGB2 Index,GNZGB2 Index.csv,NZDUSD,G10,,RATE_GOVT_NZD,2Y,close,True,2635,2016-01-01,2026-05-15
GNZGB5 Index,GNZGB5 Index.csv,NZDUSD,G10,,RATE_GOVT_NZD,5Y,close,True,2639,2016-01-01,2026-05-15
GNZGB7 Index,GNZGB7 Index.csv,NZDUSD,G10,,RATE_GOVT_NZD,7Y,close,True,2512,2016-01-01,2026-05-15
GNZGB10 Index,GNZGB10 Index.csv,NZDUSD,G10,,RATE_GOVT_NZD,10Y,close,True,2638,2016-01-01,2026-05-15
CHF Curncy,CHF Curncy.csv,USDCHF,G10,,SPOT,,open,True,2706,2016-01-01,2026-05-15
CHF1W BGN Curncy,CHF1W BGN Curncy.csv,USDCHF,G10,,FWD_POINTS,1W,close,True,2706,2016-01-01,2026-05-15
CHF1M BGN Curncy,CHF1M BGN Curncy.csv,USDCHF,G10,,FWD_POINTS,1M,close,True,2706,2016-01-01,2026-05-15
CHF2M BGN Curncy,CHF2M BGN Curncy.csv,USDCHF,G10,,FWD_POINTS,2M,close,True,2706,2016-01-01,2026-05-15
CHF3M BGN Curncy,CHF3M BGN Curncy.csv,USDCHF,G10,,FWD_POINTS,3M,close,True,2706,2016-01-01,2026-05-15
CHF6M BGN Curncy,CHF6M BGN Curncy.csv,USDCHF,G10,,FWD_POINTS,6M,close,True,2706,2016-01-01,2026-05-15
CHF9M BGN Curncy,CHF9M BGN Curncy.csv,USDCHF,G10,,FWD_POINTS,9M,close,True,2706,2016-01-01,2026-05-15
CHF12M BGN Curncy,CHF12M BGN Curncy.csv,USDCHF,G10,,FWD_POINTS,12M,close,True,2706,2016-01-01,2026-05-15
USDCHFV1W BGN Curncy,USDCHFV1W BGN Curncy.csv,USDCHF,G10,,VOL_ATM,1W,close,True,2706,2016-01-01,2026-05-15
USDCHF25R1W BGN Curncy,USDCHF25R1W BGN Curncy.csv,USDCHF,G10,,VOL_RR_25D,1W,close,True,2706,2016-01-01,2026-05-15
USDCHF25B1W BGN Curncy,USDCHF25B1W BGN Curncy.csv,USDCHF,G10,,VOL_BF_25D,1W,close,True,2706,2016-01-01,2026-05-15
USDCHF10R1W BGN Curncy,USDCHF10R1W BGN Curncy.csv,USDCHF,G10,,VOL_RR_10D,1W,close,True,2706,2016-01-01,2026-05-15
USDCHF10B1W BGN Curncy,USDCHF10B1W BGN Curncy.csv,USDCHF,G10,,VOL_BF_10D,1W,close,True,2706,2016-01-01,2026-05-15
USDCHFV1M BGN Curncy,USDCHFV1M BGN Curncy.csv,USDCHF,G10,,VOL_ATM,1M,close,True,2706,2016-01-01,2026-05-15
USDCHF25R1M BGN Curncy,USDCHF25R1M BGN Curncy.csv,USDCHF,G10,,VOL_RR_25D,1M,close,True,2706,2016-01-01,2026-05-15
USDCHF25B1M BGN Curncy,USDCHF25B1M BGN Curncy.csv,USDCHF,G10,,VOL_BF_25D,1M,close,True,2706,2016-01-01,2026-05-15
USDCHF10R1M BGN Curncy,USDCHF10R1M BGN Curncy.csv,USDCHF,G10,,VOL_RR_10D,1M,close,True,2706,2016-01-01,2026-05-15
USDCHF10B1M BGN Curncy,USDCHF10B1M BGN Curncy.csv,USDCHF,G10,,VOL_BF_10D,1M,close,True,2706,2016-01-01,2026-05-15
USDCHFV2M BGN Curncy,USDCHFV2M BGN Curncy.csv,USDCHF,G10,,VOL_ATM,2M,close,True,2706,2016-01-01,2026-05-15
USDCHF25R2M BGN Curncy,USDCHF25R2M BGN Curncy.csv,USDCHF,G10,,VOL_RR_25D,2M,close,True,2706,2016-01-01,2026-05-15
USDCHF25B2M BGN Curncy,USDCHF25B2M BGN Curncy.csv,USDCHF,G10,,VOL_BF_25D,2M,close,True,2706,2016-01-01,2026-05-15
USDCHF10R2M BGN Curncy,USDCHF10R2M BGN Curncy.csv,USDCHF,G10,,VOL_RR_10D,2M,close,True,2706,2016-01-01,2026-05-15
USDCHF10B2M BGN Curncy,USDCHF10B2M BGN Curncy.csv,USDCHF,G10,,VOL_BF_10D,2M,close,True,2706,2016-01-01,2026-05-15
USDCHFV3M BGN Curncy,USDCHFV3M BGN Curncy.csv,USDCHF,G10,,VOL_ATM,3M,close,True,2706,2016-01-01,2026-05-15
USDCHF25R3M BGN Curncy,USDCHF25R3M BGN Curncy.csv,USDCHF,G10,,VOL_RR_25D,3M,close,True,2706,2016-01-01,2026-05-15
USDCHF25B3M BGN Curncy,USDCHF25B3M BGN Curncy.csv,USDCHF,G10,,VOL_BF_25D,3M,close,True,2706,2016-01-01,2026-05-15
USDCHF10R3M BGN Curncy,USDCHF10R3M BGN Curncy.csv,USDCHF,G10,,VOL_RR_10D,3M,close,True,2706,2016-01-01,2026-05-15
USDCHF10B3M BGN Curncy,USDCHF10B3M BGN Curncy.csv,USDCHF,G10,,VOL_BF_10D,3M,close,True,2706,2016-01-01,2026-05-15
USDCHFV6M BGN Curncy,USDCHFV6M BGN Curncy.csv,USDCHF,G10,,VOL_ATM,6M,close,True,2706,2016-01-01,2026-05-15
USDCHF25R6M BGN Curncy,USDCHF25R6M BGN Curncy.csv,USDCHF,G10,,VOL_RR_25D,6M,close,True,2706,2016-01-01,2026-05-15
USDCHF25B6M BGN Curncy,USDCHF25B6M BGN Curncy.csv,USDCHF,G10,,VOL_BF_25D,6M,close,True,2706,2016-01-01,2026-05-15
USDCHF10R6M BGN Curncy,USDCHF10R6M BGN Curncy.csv,USDCHF,G10,,VOL_RR_10D,6M,close,True,2706,2016-01-01,2026-05-15
USDCHF10B6M BGN Curncy,USDCHF10B6M BGN Curncy.csv,USDCHF,G10,,VOL_BF_10D,6M,close,True,2706,2016-01-01,2026-05-15
USDCHFV9M BGN Curncy,USDCHFV9M BGN Curncy.csv,USDCHF,G10,,VOL_ATM,9M,close,True,2706,2016-01-01,2026-05-15
USDCHF25R9M BGN Curncy,USDCHF25R9M BGN Curncy.csv,USDCHF,G10,,VOL_RR_25D,9M,close,True,2706,2016-01-01,2026-05-15
USDCHF25B9M BGN Curncy,USDCHF25B9M BGN Curncy.csv,USDCHF,G10,,VOL_BF_25D,9M,close,True,2706,2016-01-01,2026-05-15
USDCHF10R9M BGN Curncy,USDCHF10R9M BGN Curncy.csv,USDCHF,G10,,VOL_RR_10D,9M,close,True,2706,2016-01-01,2026-05-15
USDCHF10B9M BGN Curncy,USDCHF10B9M BGN Curncy.csv,USDCHF,G10,,VOL_BF_10D,9M,close,True,2706,2016-01-01,2026-05-15
USDCHFV1Y BGN Curncy,USDCHFV1Y BGN Curncy.csv,USDCHF,G10,,VOL_ATM,1Y,close,True,2706,2016-01-01,2026-05-15
USDCHF25R1Y BGN Curncy,USDCHF25R1Y BGN Curncy.csv,USDCHF,G10,,VOL_RR_25D,1Y,close,True,2706,2016-01-01,2026-05-15
USDCHF25B1Y BGN Curncy,USDCHF25B1Y BGN Curncy.csv,USDCHF,G10,,VOL_BF_25D,1Y,close,True,2706,2016-01-01,2026-05-15
USDCHF10R1Y BGN Curncy,USDCHF10R1Y BGN Curncy.csv,USDCHF,G10,,VOL_RR_10D,1Y,close,True,2706,2016-01-01,2026-05-15
USDCHF10B1Y BGN Curncy,USDCHF10B1Y BGN Curncy.csv,USDCHF,G10,,VOL_BF_10D,1Y,close,True,2706,2016-01-01,2026-05-15
SRFXON3 Index,SRFXON3 Index.csv,USDCHF,G10,,RATE_OIS_CHF,ON,close,True,2626,2016-01-04,2026-05-15
SFSNT1Z Curncy,SFSNT1Z Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,1W,close,True,2260,2017-08-02,2026-05-15
SFSNTA Curncy,SFSNTA Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,1M,close,True,2266,2017-08-02,2026-05-15
SFSNTB Curncy,SFSNTB Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,2M,close,True,2677,2016-01-01,2026-05-15
SFSNTC Curncy,SFSNTC Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,3M,close,True,2695,2016-01-01,2026-05-15
SFSNTF Curncy,SFSNTF Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,6M,close,True,2664,2016-01-01,2026-05-15
SFSNTI Curncy,SFSNTI Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,9M,close,True,2660,2016-01-01,2026-05-15
SFSNT1 Curncy,SFSNT1 Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,1Y,close,True,2698,2016-01-01,2026-05-15
SFSNT2 Curncy,SFSNT2 Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,2Y,close,True,2279,2017-08-01,2026-05-15
SFSNT5 Curncy,SFSNT5 Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,5Y,close,True,2690,2016-01-01,2026-05-15
SFSNT7 Curncy,SFSNT7 Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,7Y,close,True,2688,2016-01-01,2026-05-15
SFSNT10 Curncy,SFSNT10 Curncy.csv,USDCHF,G10,,RATE_OIS_CHF,10Y,close,True,2689,2016-01-01,2026-05-15
GSWISS02 Index,GSWISS02 Index.csv,USDCHF,G10,,RATE_GOVT_CHF,2Y,close,True,2663,2016-01-01,2026-05-15
GSWISS05 Index,GSWISS05 Index.csv,USDCHF,G10,,RATE_GOVT_CHF,5Y,close,True,2663,2016-01-01,2026-05-15
GSWISS07 Index,GSWISS07 Index.csv,USDCHF,G10,,RATE_GOVT_CHF,7Y,close,True,2663,2016-01-01,2026-05-15
GSWISS10 Index,GSWISS10 Index.csv,USDCHF,G10,,RATE_GOVT_CHF,10Y,close,True,2663,2016-01-01,2026-05-15
JPY Curncy,JPY Curncy.csv,USDJPY,G10,,SPOT,,open,True,2706,2016-01-01,2026-05-15
JPY1W BGN Curncy,JPY1W BGN Curncy.csv,USDJPY,G10,,FWD_POINTS,1W,close,True,2706,2016-01-01,2026-05-15
JPY1M BGN Curncy,JPY1M BGN Curncy.csv,USDJPY,G10,,FWD_POINTS,1M,close,True,2706,2016-01-01,2026-05-15
JPY2M BGN Curncy,JPY2M BGN Curncy.csv,USDJPY,G10,,FWD_POINTS,2M,close,True,2706,2016-01-01,2026-05-15
JPY3M BGN Curncy,JPY3M BGN Curncy.csv,USDJPY,G10,,FWD_POINTS,3M,close,True,2706,2016-01-01,2026-05-15
JPY6M BGN Curncy,JPY6M BGN Curncy.csv,USDJPY,G10,,FWD_POINTS,6M,close,True,2706,2016-01-01,2026-05-15
JPY9M BGN Curncy,JPY9M BGN Curncy.csv,USDJPY,G10,,FWD_POINTS,9M,close,True,2706,2016-01-01,2026-05-15
JPY12M BGN Curncy,JPY12M BGN Curncy.csv,USDJPY,G10,,FWD_POINTS,12M,close,True,2706,2016-01-01,2026-05-15
USDJPYV1W BGN Curncy,USDJPYV1W BGN Curncy.csv,USDJPY,G10,,VOL_ATM,1W,close,True,2706,2016-01-01,2026-05-15
USDJPY25R1W BGN Curncy,USDJPY25R1W BGN Curncy.csv,USDJPY,G10,,VOL_RR_25D,1W,close,True,2706,2016-01-01,2026-05-15
USDJPY25B1W BGN Curncy,USDJPY25B1W BGN Curncy.csv,USDJPY,G10,,VOL_BF_25D,1W,close,True,2706,2016-01-01,2026-05-15
USDJPY10R1W BGN Curncy,USDJPY10R1W BGN Curncy.csv,USDJPY,G10,,VOL_RR_10D,1W,close,True,2706,2016-01-01,2026-05-15
USDJPY10B1W BGN Curncy,USDJPY10B1W BGN Curncy.csv,USDJPY,G10,,VOL_BF_10D,1W,close,True,2706,2016-01-01,2026-05-15
USDJPYV1M BGN Curncy,USDJPYV1M BGN Curncy.csv,USDJPY,G10,,VOL_ATM,1M,close,True,2706,2016-01-01,2026-05-15
USDJPY25R1M BGN Curncy,USDJPY25R1M BGN Curncy.csv,USDJPY,G10,,VOL_RR_25D,1M,close,True,2706,2016-01-01,2026-05-15
USDJPY25B1M BGN Curncy,USDJPY25B1M BGN Curncy.csv,USDJPY,G10,,VOL_BF_25D,1M,close,True,2706,2016-01-01,2026-05-15
USDJPY10R1M BGN Curncy,USDJPY10R1M BGN Curncy.csv,USDJPY,G10,,VOL_RR_10D,1M,close,True,2706,2016-01-01,2026-05-15
USDJPY10B1M BGN Curncy,USDJPY10B1M BGN Curncy.csv,USDJPY,G10,,VOL_BF_10D,1M,close,True,2706,2016-01-01,2026-05-15
USDJPYV2M BGN Curncy,USDJPYV2M BGN Curncy.csv,USDJPY,G10,,VOL_ATM,2M,close,True,2706,2016-01-01,2026-05-15
USDJPY25R2M BGN Curncy,USDJPY25R2M BGN Curncy.csv,USDJPY,G10,,VOL_RR_25D,2M,close,True,2706,2016-01-01,2026-05-15
USDJPY25B2M BGN Curncy,USDJPY25B2M BGN Curncy.csv,USDJPY,G10,,VOL_BF_25D,2M,close,True,2706,2016-01-01,2026-05-15
USDJPY10R2M BGN Curncy,USDJPY10R2M BGN Curncy.csv,USDJPY,G10,,VOL_RR_10D,2M,close,True,2706,2016-01-01,2026-05-15
USDJPY10B2M BGN Curncy,USDJPY10B2M BGN Curncy.csv,USDJPY,G10,,VOL_BF_10D,2M,close,True,2706,2016-01-01,2026-05-15
USDJPYV3M BGN Curncy,USDJPYV3M BGN Curncy.csv,USDJPY,G10,,VOL_ATM,3M,close,True,2706,2016-01-01,2026-05-15
USDJPY25R3M BGN Curncy,USDJPY25R3M BGN Curncy.csv,USDJPY,G10,,VOL_RR_25D,3M,close,True,2706,2016-01-01,2026-05-15
USDJPY25B3M BGN Curncy,USDJPY25B3M BGN Curncy.csv,USDJPY,G10,,VOL_BF_25D,3M,close,True,2706,2016-01-01,2026-05-15
USDJPY10R3M BGN Curncy,USDJPY10R3M BGN Curncy.csv,USDJPY,G10,,VOL_RR_10D,3M,close,True,2706,2016-01-01,2026-05-15
USDJPY10B3M BGN Curncy,USDJPY10B3M BGN Curncy.csv,USDJPY,G10,,VOL_BF_10D,3M,close,True,2706,2016-01-01,2026-05-15
USDJPYV6M BGN Curncy,USDJPYV6M BGN Curncy.csv,USDJPY,G10,,VOL_ATM,6M,close,True,2706,2016-01-01,2026-05-15
USDJPY25R6M BGN Curncy,USDJPY25R6M BGN Curncy.csv,USDJPY,G10,,VOL_RR_25D,6M,close,True,2706,2016-01-01,2026-05-15
USDJPY25B6M BGN Curncy,USDJPY25B6M BGN Curncy.csv,USDJPY,G10,,VOL_BF_25D,6M,close,True,2706,2016-01-01,2026-05-15
USDJPY10R6M BGN Curncy,USDJPY10R6M BGN Curncy.csv,USDJPY,G10,,VOL_RR_10D,6M,close,True,2706,2016-01-01,2026-05-15
USDJPY10B6M BGN Curncy,USDJPY10B6M BGN Curncy.csv,USDJPY,G10,,VOL_BF_10D,6M,close,True,2706,2016-01-01,2026-05-15
USDJPYV9M BGN Curncy,USDJPYV9M BGN Curncy.csv,USDJPY,G10,,VOL_ATM,9M,close,True,2706,2016-01-01,2026-05-15
USDJPY25R9M BGN Curncy,USDJPY25R9M BGN Curncy.csv,USDJPY,G10,,VOL_RR_25D,9M,close,True,2706,2016-01-01,2026-05-15
USDJPY25B9M BGN Curncy,USDJPY25B9M BGN Curncy.csv,USDJPY,G10,,VOL_BF_25D,9M,close,True,2706,2016-01-01,2026-05-15
USDJPY10R9M BGN Curncy,USDJPY10R9M BGN Curncy.csv,USDJPY,G10,,VOL_RR_10D,9M,close,True,2706,2016-01-01,2026-05-15
USDJPY10B9M BGN Curncy,USDJPY10B9M BGN Curncy.csv,USDJPY,G10,,VOL_BF_10D,9M,close,True,2706,2016-01-01,2026-05-15
USDJPYV1Y BGN Curncy,USDJPYV1Y BGN Curncy.csv,USDJPY,G10,,VOL_ATM,1Y,close,True,2706,2016-01-01,2026-05-15
USDJPY25R1Y BGN Curncy,USDJPY25R1Y BGN Curncy.csv,USDJPY,G10,,VOL_RR_25D,1Y,close,True,2706,2016-01-01,2026-05-15
USDJPY25B1Y BGN Curncy,USDJPY25B1Y BGN Curncy.csv,USDJPY,G10,,VOL_BF_25D,1Y,close,True,2706,2016-01-01,2026-05-15
USDJPY10R1Y BGN Curncy,USDJPY10R1Y BGN Curncy.csv,USDJPY,G10,,VOL_RR_10D,1Y,close,True,2706,2016-01-01,2026-05-15
USDJPY10B1Y BGN Curncy,USDJPY10B1Y BGN Curncy.csv,USDJPY,G10,,VOL_BF_10D,1Y,close,True,2706,2016-01-01,2026-05-15
MUTKCALM Index,MUTKCALM Index.csv,USDJPY,G10,,RATE_OIS_JPY,ON,close,True,2530,2016-01-04,2026-05-14
JYSO1Z Curncy,JYSO1Z Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,1W,close,True,2644,2016-01-01,2026-05-15
JYSOA Curncy,JYSOA Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,1M,close,True,2671,2016-01-01,2026-05-15
JYSOB Curncy,JYSOB Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,2M,close,True,2674,2016-01-01,2026-05-15
JYSOC Curncy,JYSOC Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,3M,close,True,2673,2016-01-01,2026-05-15
JYSOF Curncy,JYSOF Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,6M,close,True,2665,2016-01-04,2026-05-15
JYSOI Curncy,JYSOI Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,9M,close,True,2663,2016-01-04,2026-05-15
JYSO1 Curncy,JYSO1 Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,1Y,close,True,2667,2016-01-04,2026-05-15
JYSO2 Curncy,JYSO2 Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,2Y,close,True,2657,2016-01-04,2026-05-15
JYSO5 Curncy,JYSO5 Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,5Y,close,True,2623,2016-01-04,2026-05-15
JYSO7 Curncy,JYSO7 Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,7Y,close,True,2600,2016-01-04,2026-05-15
JYSO10 Curncy,JYSO10 Curncy.csv,USDJPY,G10,,RATE_OIS_JPY,10Y,close,True,2649,2016-01-01,2026-05-15
GJGB2 Index,GJGB2 Index.csv,USDJPY,G10,,RATE_GOVT_JPY,2Y,close,True,2703,2016-01-01,2026-05-15
GJGB5 Index,GJGB5 Index.csv,USDJPY,G10,,RATE_GOVT_JPY,5Y,close,True,2703,2016-01-01,2026-05-15
GJGB7 Index,GJGB7 Index.csv,USDJPY,G10,,RATE_GOVT_JPY,7Y,close,True,2705,2016-01-01,2026-05-15
GJGB10 Index,GJGB10 Index.csv,USDJPY,G10,,RATE_GOVT_JPY,10Y,close,True,2703,2016-01-01,2026-05-15
CAD Curncy,CAD Curncy.csv,USDCAD,G10,,SPOT,,open,True,2706,2016-01-01,2026-05-15
CAD1W BGN Curncy,CAD1W BGN Curncy.csv,USDCAD,G10,,FWD_POINTS,1W,close,True,2705,2016-01-01,2026-05-15
CAD1M BGN Curncy,CAD1M BGN Curncy.csv,USDCAD,G10,,FWD_POINTS,1M,close,True,2706,2016-01-01,2026-05-15
